iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_step,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
5,3000000,4.5541605120630235,4062,100.04077650242093,5997.554407082,100000,6.2272727272727275,110,310.6169546787357,64.38798558399867
4,2400000,0.27793141592920356,14464,108.71517296740674,5519.008834028002,80000,0.26325757575757575,528,248.42020326050937,80.50874984200345
6,3600000,5.18586870551015,3793,89.38989710549524,6712.167923092005,120000,6.371681415929204,113,296.77410664852596,67.39132408099977
5,3000000,0.28314341300722623,14392,146.07317831920494,4107.5302591750005,100000,0.24202626641651032,533,282.37617991087495,70.82750395699986
7,4200000,5.096042216358839,3790,109.45436858757901,5481.736432657002,140000,5.891891891891892,111,385.6388686822499,51.86199220099661
6,3600000,0.2796662759429084,14503,146.39516471420475,4098.496020489001,120000,0.263653483992467,531,379.755761650307,52.665428729997075
7,4200000,0.27678940835746796,14502,142.2589226739438,4217.6616322000045,140000,0.27115384615384613,520,379.1018541457446,52.75627059399994
8,4800000,0.2612868632707775,18650,106.65724069839476,5625.497116475002,160000,0.0049504950495049506,808,369.6476584878345,54.10557740800141
8,4800000,0.2746313903817004,14514,170.1277691496421,3526.761110188003,160000,0.3172690763052209,498,340.4455665483261,58.74654266399739
9,5400000,0.0,24387,120.68360915926094,4971.677630291997,180000,0.0,813,353.28084750596713,56.61218302999623
9,5400000,0.2915852637454647,14332,166.9758872844527,3593.3332037210057,180000,0.2224231464737794,553,318.7556059607995,62.74399454000377
10,6000000,0.1564902989254978,19637,121.51785944605368,4937.545828531998,200000,2.7085714285714286,175,378.74220178971996,52.806367776000116
10,6000000,0.27859702315325247,14512,169.59935514601656,3537.749300305004,200000,0.30332681017612523,511,371.35798628933753,53.856388547996175
11,6600000,0.28329398694625746,14402,171.20060066846466,3504.660600823001,220000,0.2504708097928437,531,378.8428275578833,52.79234169200208
11,6600000,1.0141489361702127,9400,124.5831228369052,4816.061648939998,220000,2.083743842364532,203,402.9639642940866,49.63222960900748
12,7200000,0.28863319386331937,14340,178.56355621579814,3360.148132774004,240000,0.2514177693761815,529,396.9705353179815,50.38157298999431
12,7200000,0.9689080150618612,9295,128.0338156681738,4686.261960316988,240000,0.49539170506912444,434,384.69904688519773,51.98869132100663
13,7800000,0.28624921988766383,14421,178.79746942587644,3355.7521922799933,260000,0.272552783109405,521,393.5832829497156,50.81516636100423
14,8400000,0.27782767912664963,14473,178.9299322756139,3353.267909786009,280000,0.2660377358490566,530,387.6988903528476,51.58642569700896
13,7800000,0.4506834133727374,13535,127.09981883800059,4720.699096862998,260000,0.256120527306968,531,374.3584270196509,53.424735644992325
15,9000000,0.2892728281987233,14412,178.5498528748726,3360.4060173629987,300000,0.2331511839708561,549,357.04130479618317,56.01592793701275
14,8400000,0.26003210272873195,3738,129.0850535561903,4648.098160635011,280000,0.0,1,373.19921821221635,53.59068032298819
16,9600000,0.2815884476534296,14404,177.5293804252539,3379.7222666060115,320000,0.2771317829457364,516,387.1732784892724,51.65645748600946
15,9000000,0.0,22,130.16120365903564,4609.668496703001,300000,0.0,1,407.3482792477214,49.098034823997295
